backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-cpu,batch_medium,5,5,0,0.0,17244.763691761073,17313.185408014473,4.98520666709131,4.8986999997093035,4.434979999132338,4.393599998365971,0.2700364519303934,4.191250000076252,4.873049998423085,4.2424000002938556,4.474599998502526,4.099685458567686,4.77027453969699,5
onnxruntime-cpu,batch_short,5,5,0,0.0,16644.375325044566,16959.22188767508,3.1848133335491484,3.267133334399356,2.7051100001699524,2.798000001348555,0.1779251264774385,2.4312999994435813,2.846700001100544,2.6194000001851236,2.830149998771958,2.484186776247065,2.9260332240928397,5
onnxruntime-cpu,single_long,5,5,0,0.0,15730.099477730007,15805.141298748153,2.094913333470079,1.9909666661988012,1.7463000003772322,1.7140000018116552,0.13229317764527587,1.6229499997280072,1.9692499990924262,1.6828500010888092,1.7424500001652632,1.5820363244871178,1.9105636762673466,5
onnxruntime-cpu,single_medium,5,5,0,0.0,14764.412761814843,14460.768702640275,1.7399666665975626,1.5539999997902971,1.3038500004768139,1.3390999993134756,0.08465911801184962,1.211749999129097,1.3914500013925135,1.2150000020483276,1.3619500005006557,1.1987318215218161,1.4089681794318116,5
onnxruntime-cpu,single_micro,5,5,0,0.0,10172.889390274211,9982.775006090189,1.0654733331951625,0.9535333326008791,0.8540599999832921,0.8056500009843148,0.2188871478206294,0.6067999984225025,1.178150001578615,0.7332499990297947,0.9464499999012332,0.5822757088649105,1.1258442911016737,5
onnxruntime-cpu,single_short,5,5,0,0.0,11190.202681745603,10857.820650465641,1.103220000610842,1.1485666667188827,1.014460000078543,1.0380500007158844,0.10958705747505695,0.8375499983230839,1.1365499995008577,1.0101999996550148,1.0499500021978747,0.8783896961426779,1.1505303040144081,5
onnxruntime-gpu,batch_medium,5,5,0,0.0,5344.384967334404,5737.472047269098,14.330493333060684,13.13313333230326,14.390129999810597,13.248449999082368,1.7506627724120978,13.038900000537978,16.563549999773386,13.074200000119163,16.02554999954009,12.216395062310902,16.563864937310292,5
onnxruntime-gpu,batch_short,5,5,0,0.0,5275.1403500976685,5476.37537671618,8.312146667109726,8.121200000459794,8.443069998975261,8.058649998929468,1.0224232139557674,7.590949999212171,10.174249999181484,7.888999998613144,8.502499998940038,7.173563903278598,9.712576094671924,5
onnxruntime-gpu,single_long,5,5,0,0.0,4939.783645592058,4925.273559513078,5.818466667066484,5.9083333350524,5.473139999594423,5.484049999722629,0.15244716526094607,5.273649998343899,5.684249999831081,5.397749999247026,5.52600000082748,5.2838518428616865,5.6624281563271595,5
onnxruntime-gpu,single_medium,5,5,0,0.0,4537.494063851382,4490.982029554782,4.620886667059191,4.759833334295156,4.20068000057654,4.2351000010967255,0.20882002334957375,3.9052499996614642,4.411150001033093,4.083850000824896,4.368050000266521,3.9413956954793044,4.459964305673775,5
onnxruntime-gpu,single_micro,5,5,0,0.0,3236.864522571516,3150.3187104685558,4.949600000206071,2.8064999993754705,2.4934100001701154,2.5613000016164733,0.2168130971703686,2.1596500009763986,2.7201499997318024,2.4133499991876306,2.612599999338272,2.224200983074614,2.762619017265617,5
onnxruntime-gpu,single_short,5,5,0,0.0,3457.091055868633,3514.608261978113,3.530240000448733,3.5808333341265097,3.227780000452185,3.2234500013146317,0.2826196840401415,2.9305000007298077,3.596250000555301,2.9785999995510792,3.4101000001101056,2.8768613135958176,3.5786986873085525,5
tensorrt-fp16,batch_medium,5,5,0,0.0,15923.963149990264,13068.39835868945,5.982259999291273,6.297666665583772,5.274409999765339,5.818850000650855,1.2663112954267237,3.0140999988361727,5.962600000202656,5.728699998144293,5.84780000099272,3.7020768537152025,6.846743145815476,5
tensorrt-fp16,batch_short,5,5,0,0.0,14287.13996796995,13850.475032472492,3.208066666654001,3.120933333169281,3.116859999499866,3.205549999620416,0.19695145489719795,2.7750499993999256,3.2465500007674564,3.12369999846851,3.233449999243021,2.872312468560162,3.3614075304395694,5
tensorrt-fp16,single_long,5,5,0,0.0,12697.843217367259,12429.518964147335,2.1611666663375213,2.1919333339610603,2.1681700000044657,2.237450000393437,0.1800274239110684,1.8712499986577313,2.3261999976966763,2.134850001311861,2.2711000019626226,1.9446364290447242,2.391703570964207,5
tensorrt-fp16,single_medium,5,5,0,0.0,13980.829864024057,13888.62524359842,1.805926666565938,1.883599999321935,1.384620000681025,1.4117500013526296,0.13363981656948953,1.2288000016269507,1.5535499987890944,1.2721000002784422,1.456900001358008,1.2186842517201346,1.5505557496419153,5
tensorrt-fp16,single_micro,5,5,0,0.0,10453.740807617762,11130.191677510547,1.041273333733746,1.0248333346680738,0.7816400004230672,0.720650001312606,0.09701307537725977,0.6996000010985881,0.9019000008265721,0.7140499983506743,0.8720000005268957,0.6611823573720955,0.902097643474039,5
tensorrt-fp16,single_short,5,5,0,0.0,10218.414131468948,9749.311133685744,1.427233333864327,1.4020000016898848,1.1533199995028554,1.1514999987412011,0.2753516887342112,0.8054499976424268,1.4234500013117213,0.9627500003261957,1.4234499994927319,0.8114257207569757,1.495214278248735,5
tensorrt-fp32,batch_medium,5,5,0,0.0,16024.00608111302,16387.95428165818,5.21638666614308,5.246566666755825,4.802539999582223,4.65145000089251,0.3389590609649646,4.483149999941816,5.259699997623102,4.558549999273964,5.059850000179722,4.3816667367170705,5.223413262447375,5
tensorrt-fp32,batch_short,5,5,0,0.0,15271.40101858959,15489.838367801176,6.7277933325385675,3.4363333325018175,2.9313099996215897,2.8870499991171528,0.1045226743198057,2.841449999323231,3.1059500015544472,2.87679999928514,2.945299998827977,2.8015279579227097,3.0610920413204696,5
tensorrt-fp32,single_long,5,5,0,0.0,15646.48672644443,15420.579325459123,2.188366666329481,2.378066667006351,1.7627199998969445,1.7711500004224945,0.22818981827496795,1.4164000003802357,2.0496500001172535,1.7399999996996485,1.8363999988650903,1.479384917788257,2.046055082005632,5
tensorrt-fp32,single_medium,5,5,0,0.0,14314.989998541854,14578.77817137818,1.7263200003071688,1.666233334011243,1.4010099996085046,1.3873499992769212,0.16143143441125013,1.2449000005290145,1.60659999892232,1.2474999984988244,1.5187000008154428,1.2005663993216626,1.6014535998953465,5
tensorrt-fp32,single_micro,5,5,0,0.0,11398.175532482817,10392.30986502662,1.088280000112718,1.052099999166482,0.8069899999100016,0.7732499998382991,0.28529805777322,0.40330000047106296,1.1880500005645445,0.7494999990740325,0.9208499996020691,0.4527456728155362,1.1612343270044672,5
tensorrt-fp32,single_short,5,5,0,0.0,11080.606059439524,10674.07124186263,1.2153733332525007,1.2056999997488067,1.0131300001376076,1.0598499993648147,0.08951609217827056,0.8792500011622906,1.0965500005113427,0.9650999982113717,1.0649000014382182,0.9019810912199593,1.1242789090552558,5
tensorrt-int8,batch_medium,5,5,0,0.0,6729.721322851723,6806.034050666732,11.38068000000203,11.299433334594747,11.318019999816897,11.167549999299808,0.4077220572870136,10.965349998514284,11.968050002906239,11.038899998311535,11.45025000005262,10.81176620001004,11.824273799623755,5
tensorrt-int8,batch_short,5,5,0,0.0,6117.066838140088,6256.008637795128,7.310846667193497,6.972366667469032,7.243219999509165,7.033949999822653,0.462733968341691,6.803899999795249,7.869099999879836,6.917149999935646,7.591999998112442,6.668659890273326,7.817780108745004,5
tensorrt-int8,single_long,5,5,0,0.0,5673.821468945373,5656.9123308550425,5.166100000011889,5.128699999962312,4.765649999899324,4.774099999849568,0.17070112811403684,4.586499999277294,4.943550000461983,4.599699999744189,4.924400000163587,4.553696554667356,4.977603445131292,5
tensorrt-int8,single_medium,5,5,0,0.0,4939.156169533686,4688.356888707897,3.8571333340466176,3.6193000014463905,4.051139999137376,4.250800000590971,0.6313272620380157,3.1691999993199715,4.660749998947722,3.6389499982760753,4.535999998552143,3.267243666780217,4.835036331494536,5
tensorrt-int8,single_micro,5,5,0,0.0,7421.613864076212,7583.172114283581,1.3228133337785644,1.1911666673161865,1.100179999775719,1.061900000422611,0.1736110320542797,0.9832000014284858,1.4027499983058078,0.9876999993139179,1.065349999407772,0.8846134315829197,1.315746567968518,5
tensorrt-int8,single_short,5,5,0,0.0,5753.749190021712,5910.6842590713895,2.04444000046351,2.115833335362064,1.9852300003549317,1.9209500005672453,0.38714417374319826,1.6658500007906696,2.6466499984962866,1.7532500005472684,1.9394500013731886,1.5045270177036585,2.465932983006205,5
transformers-gpu-compile,batch_medium,5,5,0,0.0,9619.367807283916,9680.389484984084,8.622726666362723,8.82889999896482,7.924340000317898,7.85725000059756,0.28242586568056266,7.577399999718182,8.354800002052798,7.84995000140043,7.982299997820519,7.57366197074081,8.275018029894985,5
transformers-gpu-compile,batch_short,5,5,0,0.0,6723.844116776064,6847.189416496102,6.399326666238872,6.454200000007404,6.600860000617104,6.484699999418808,0.29530646447292996,6.3640999997005565,7.067700000334298,6.378300002324977,6.709500001306878,6.234188595244227,6.96753140598998,5
transformers-gpu-compile,single_long,5,5,0,0.0,5513.731012647874,5548.127487018345,5.308860000271428,5.33736666693585,4.911690000153612,4.868650001299102,0.251585858055546,4.691149999416666,5.327299999407842,4.739750002045184,4.931599998599268,4.599304897748838,5.224075102558387,5
transformers-gpu-compile,single_medium,5,5,0,0.0,4110.758318732836,3921.7399956188037,4.877359999712402,5.17780000033478,4.688710000482388,4.849650000323891,0.4599277564513991,3.8828000015200814,4.996650000975933,4.759450001074583,4.954999998517451,4.1176342635220555,5.25978573744272,5
transformers-gpu-compile,single_micro,5,5,0,0.0,1860.5370645124408,1876.6557932365115,11.751093333198998,4.209866666011901,4.3496000002051005,4.2854500006797025,0.15334754112222945,4.215250000925153,4.568899998048437,4.230600001392304,4.447799999979907,4.159193879180557,4.540006121229644,5
transformers-gpu-compile,single_short,5,5,0,0.0,2517.139940231607,2527.575682428458,4.155673333298182,4.206766666660163,4.374420000385726,4.355900000518886,0.083323163088453,4.274349999832339,4.5032500001980225,4.349750000983477,4.388850000395905,4.2709606285623325,4.477879372209119,5
