config_name,num_gpu,num_ctx,temperature,mean_tokens_s,mean_ttft_s,mean_load_s
g60_c2048_t0.8,60,2048,0.8,103.15646723891811,0.1523936,0.1351036
g60_c4096_t0.4,60,4096,0.4,103.04588876905974,0.1548865,0.1436811
g80_c2048_t0.8,80,2048,0.8,102.94443045313128,0.1409151,0.1287543
g60_c1024_t0.8,60,1024,0.8,102.80676210963742,0.1169516,0.1043719
g60_c4096_t0.8,60,4096,0.8,102.54031499821801,0.13002149999999998,0.1176477
g80_c2048_t0.4,80,2048,0.4,102.42002367650102,0.125084,0.1135704
g80_c1024_t0.4,80,1024,0.4,102.37287918271092,0.1288451,0.1166802
g80_c1024_t0.2,80,1024,0.2,102.2639140978056,2.5719553,2.3447545
g60_c2048_t0.2,60,2048,0.2,102.24967930500036,0.1330047,0.1214047
g40_c2048_t0.2,40,2048,0.2,102.22860947824746,0.14124599999999998,0.1299852
g60_c2048_t0.4,60,2048,0.4,102.19662151534382,0.1496366,0.1368233
g80_c4096_t0.8,80,4096,0.8,102.16081838086318,0.1335681,0.1156153
g40_c1024_t0.4,40,1024,0.4,102.14948570278598,0.126241,0.1134081
g80_c1024_t0.8,80,1024,0.8,102.14183324354508,0.1240347,0.11166
g40_c1024_t0.8,40,1024,0.8,102.1381244640244,0.141785,0.1291786
g40_c4096_t0.8,40,4096,0.8,102.09642223742418,0.1255977,0.1134577
g60_c1024_t0.4,60,1024,0.4,102.06610967732529,0.13492200000000001,0.1240002
g999_c4096_t0.8,999,4096,0.8,102.04578848353192,0.1323959,0.120836
g80_c2048_t0.2,80,2048,0.2,101.9151163237553,0.14083520000000002,0.1284743
g60_c4096_t0.2,60,4096,0.2,101.89276945484323,2.9039987000000003,2.6674014
g60_c1024_t0.2,60,1024,0.2,101.81289765158328,2.5965414,2.3649375
g999_c4096_t0.4,999,4096,0.4,101.78460337704557,0.1431719,0.1305568
g40_c2048_t0.4,40,2048,0.4,101.77728933566722,0.1355578,0.1234891
g999_c1024_t0.4,999,1024,0.4,101.77030514821124,0.143239,0.1318192
g999_c1024_t0.8,999,1024,0.8,101.76973073558186,0.1291407,0.1168764
g40_c2048_t0.8,40,2048,0.8,101.70956778374787,0.16484,0.1528492
g80_c4096_t0.4,80,4096,0.4,101.665243804669,0.13682539999999999,0.119332
g80_c4096_t0.2,80,4096,0.2,101.63852772608669,2.5733634,2.3187142
g40_c4096_t0.4,40,4096,0.4,101.61396712296752,0.1473221,0.1353722
g999_c2048_t0.2,999,2048,0.2,101.61183564813786,0.12329709999999999,0.111121
g40_c1024_t0.2,40,1024,0.2,101.46160143853723,2.5770922,2.3401228
g999_c1024_t0.2,999,1024,0.2,101.4449506143006,2.5176155999999996,2.2951013
g999_c2048_t0.8,999,2048,0.8,101.3862445096403,0.1285174,0.1164095
g40_c4096_t0.2,40,4096,0.2,101.37668110104607,2.6147356999999998,2.3636415
g999_c2048_t0.4,999,2048,0.4,101.37292977791257,0.1265672,0.1148068
g999_c4096_t0.2,999,4096,0.2,100.75506258712365,2.6630254,2.4066112
